blueTeamTag,redTeamTag,gamelength,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Result
14,8,25,16,60,90,15,134,68,55,10,8,70,0
11,9,49,68,87,24,46,73,93,55,19,8,49,1
7,6,50,75,36,102,46,49,89,60,19,8,73,1
2,1,34,75,55,2,46,134,89,36,19,63,49,1
1,2,34,54,36,19,8,67,68,55,17,46,70,0
12,14,40,93,60,80,116,49,68,55,90,8,108,1
14,12,43,68,87,121,46,53,89,55,19,27,49,0
11,10,42,68,55,90,97,133,86,25,102,46,67,0
10,11,33,75,87,102,15,108,68,55,19,46,49,1
9,1,33,75,87,105,8,134,68,79,45,46,70,1
1,9,49,68,55,133,46,14,75,25,105,8,108,0
7,8,39,75,87,80,46,73,68,55,19,8,49,0
8,7,53,68,36,2,116,108,82,87,102,97,49,1
6,14,51,93,60,59,27,49,68,87,121,46,73,0
11,2,34,86,25,45,46,64,93,55,105,116,49,1
2,11,28,68,85,19,46,134,75,25,102,70,49,1
11,2,24,93,25,131,8,67,89,55,104,46,70,1
10,9,33,68,87,102,97,64,75,36,19,46,49,1
9,10,44,89,87,19,15,64,68,36,2,97,67,1
10,9,32,45,25,59,15,49,68,55,90,46,67,0
7,1,46,75,36,90,46,103,68,87,17,8,134,0
1,7,45,68,36,19,8,134,45,25,9,46,70,1
6,11,34,86,55,19,27,49,16,36,2,46,64,0
11,6,31,93,87,102,132,67,68,36,122,15,134,1
14,2,36,16,36,121,15,49,93,87,19,8,108,0
2,14,26,75,87,59,8,49,68,60,19,46,108,0
14,2,45,68,55,90,46,108,82,25,17,27,49,1
8,12,42,89,25,45,15,108,75,36,90,27,49,0
12,8,38,75,87,80,27,73,89,36,131,8,49,0
8,12,54,35,36,45,8,14,89,87,131,46,103,0
9,10,54,68,87,90,46,134,35,36,19,15,67,0
10,9,32,87,36,2,46,108,86,55,19,15,64,1
2,14,47,68,87,17,8,108,89,36,102,46,49,0
14,2,28,68,87,59,15,103,75,60,19,46,134,1
11,6,36,68,87,2,8,64,89,25,45,116,49,1
6,11,39,86,55,19,8,67,16,79,17,46,103,1
11,6,47,68,55,2,8,64,93,60,102,116,67,1
12,8,36,32,87,80,46,49,68,35,105,27,73,1
8,12,39,16,35,121,15,64,86,87,19,27,73,1
12,8,49,89,36,133,27,64,105,87,45,132,49,1
1,7,33,68,36,19,46,73,89,25,80,27,49,1
7,1,28,16,60,90,27,108,86,25,17,46,49,1
1,7,34,16,36,19,8,108,86,25,102,132,49,1
12,6,40,89,60,45,27,73,35,55,121,46,49,1
6,12,51,35,36,121,8,67,75,87,102,27,49,0
2,10,40,93,85,45,132,134,54,36,19,8,67,0
10,2,27,75,36,102,46,103,82,55,24,8,64,1
