blueTeamTag,redTeamTag,gamelength,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Result
7,3,50,103,76,116,19,72,29,25,64,27,4,1
3,7,41,82,56,10,27,11,75,25,62,63,110,1
7,3,58,32,85,64,19,14,29,25,80,27,4,0
14,8,51,62,56,133,27,110,82,76,65,15,4,0
8,14,31,75,76,116,63,110,82,25,59,27,4,1
11,9,38,82,25,62,97,75,29,56,19,27,14,1
9,11,26,75,25,81,63,14,82,56,121,97,110,0
3,13,36,82,25,10,63,14,75,56,116,97,4,1
13,3,40,82,60,116,15,4,32,25,10,63,14,1
3,13,47,64,56,131,19,4,62,25,66,63,14,1
9,7,39,32,25,112,97,110,75,56,121,46,4,1
7,9,35,32,56,19,63,4,82,25,64,97,75,0
6,8,35,84,76,59,8,4,64,36,116,48,14,1
8,6,35,64,25,75,23,11,32,35,10,97,4,0
3,14,33,68,56,10,48,14,75,36,64,19,4,1
14,3,50,82,35,121,63,4,75,56,116,19,110,0
13,11,27,75,76,10,63,4,82,25,59,8,110,0
11,13,30,36,35,19,46,42,82,60,59,63,110,1
1,12,36,82,76,116,58,72,75,35,64,63,14,1
12,1,37,29,35,64,63,14,82,36,112,48,110,1
1,12,31,32,56,65,48,72,82,35,64,63,110,0
6,7,36,82,35,32,97,4,75,56,64,15,11,1
7,6,32,82,56,116,97,75,32,25,64,117,4,0
8,9,29,82,35,133,117,4,110,25,121,97,14,1
9,8,54,82,56,62,27,4,32,25,65,63,110,0
14,11,37,32,76,121,63,4,82,25,59,97,75,0
11,14,39,29,35,64,116,14,75,36,17,97,4,0
14,11,30,32,56,64,63,75,36,35,10,46,110,1
12,6,31,110,76,64,27,14,82,35,10,8,4,1
6,12,31,75,36,19,27,14,68,25,10,48,4,0
1,7,39,32,91,62,19,14,75,25,83,97,110,0
7,1,35,75,25,19,97,14,35,36,83,58,110,0
1,7,35,35,25,131,63,108,75,36,62,19,4,1
9,3,50,82,25,62,63,75,68,35,10,46,4,0
3,9,71,103,56,10,58,14,82,35,62,46,110,0
9,3,57,75,35,62,46,110,82,56,64,63,4,0
13,8,36,84,25,10,48,4,82,56,133,19,11,0
8,13,40,29,25,64,19,4,82,56,32,63,110,1
12,11,42,110,76,10,117,14,82,56,59,97,75,0
11,12,28,54,56,59,48,75,29,35,131,19,14,1
14,1,29,68,36,116,19,4,35,56,64,58,14,1
1,14,34,82,35,64,97,108,32,25,17,63,4,1
14,1,34,75,56,19,97,4,35,25,64,63,110,0
7,13,37,110,56,64,48,75,82,35,19,63,4,0
13,7,50,82,35,10,97,14,75,56,64,63,4,1
3,6,63,68,35,59,48,110,75,25,116,19,4,1
6,3,58,75,60,59,63,14,68,35,10,46,4,1
3,6,30,68,35,64,47,14,75,60,10,63,4,0
14,13,29,82,25,116,19,14,32,35,62,97,4,1
13,14,38,24,25,10,48,14,32,35,64,63,4,0
3,11,44,82,56,121,63,110,75,36,62,97,4,0
11,3,27,82,56,62,97,14,75,35,121,63,110,1
8,1,33,82,56,10,48,4,75,35,128,63,11,1
1,8,33,68,25,112,48,54,34,56,62,63,75,1
8,1,45,68,25,19,48,108,75,35,64,63,110,0
9,12,39,75,25,10,15,4,68,56,62,97,14,0
12,9,28,34,56,10,97,14,68,36,64,63,4,1
7,11,27,82,25,62,97,14,75,56,51,8,110,0
11,7,48,32,56,121,97,75,68,25,59,46,4,1
14,6,38,68,36,116,19,14,75,60,62,48,4,1
6,14,44,82,25,62,48,110,68,35,64,63,75,1
14,6,36,68,35,116,19,14,75,25,62,48,4,1
12,3,46,75,36,10,27,110,68,56,59,63,11,1
3,12,34,75,35,116,19,11,68,56,30,97,110,0
13,1,30,68,56,10,19,14,35,36,112,97,11,0
1,13,38,82,25,59,63,11,75,85,19,48,4,0
13,1,43,75,25,19,63,14,68,36,64,97,110,0
11,8,26,75,56,59,48,4,68,25,10,97,14,0
8,11,43,84,35,10,48,82,54,56,116,46,4,0
11,8,54,32,25,90,63,4,68,36,67,97,14,0
9,14,32,68,25,45,19,11,62,56,116,63,110,1
14,9,34,68,76,121,97,14,90,25,116,63,4,0
6,1,30,32,56,59,63,4,82,76,19,97,14,0
1,6,38,68,36,116,63,14,84,25,19,97,110,1
7,12,23,68,56,59,97,75,35,36,10,48,4,0
12,7,41,35,60,19,97,110,68,25,10,63,4,1
13,9,44,64,36,90,97,14,82,76,10,63,110,1
9,13,35,32,25,10,63,4,68,36,43,48,14,0
3,8,32,75,56,62,63,14,68,36,133,48,4,0
8,3,39,68,25,133,97,110,34,36,59,48,4,1
12,14,35,68,76,45,27,14,90,36,64,63,11,0
14,12,30,68,56,10,48,14,24,36,62,63,4,0
12,14,38,24,36,49,63,110,82,35,64,8,4,1
11,1,41,24,76,62,8,4,35,36,64,63,11,1
1,11,30,82,76,116,48,110,24,56,59,97,4,0
1,9,40,68,36,10,97,14,24,56,64,63,11,1
9,1,28,24,76,116,8,14,68,55,59,48,4,1
1,9,29,35,36,112,48,14,24,76,116,46,4,1
8,12,46,54,76,62,97,4,24,36,49,63,110,1
12,8,44,82,25,62,97,4,24,56,32,19,110,0
11,6,31,90,60,49,8,110,32,25,62,19,4,1
6,11,39,24,76,10,8,14,90,25,43,63,110,0
7,14,38,82,76,19,48,4,32,25,10,97,14,0
14,7,33,32,56,10,97,110,68,76,59,48,4,0
7,14,41,68,76,59,97,14,82,25,10,63,4,0
1,3,33,68,36,90,63,14,24,56,62,27,110,1
3,1,27,82,36,49,113,14,24,76,64,48,4,0
12,13,34,68,36,19,63,4,82,85,24,97,110,1
13,12,29,90,36,49,19,4,68,76,112,97,103,0
8,7,31,82,36,133,97,110,68,56,59,48,4,1
7,8,40,110,76,32,19,4,82,56,133,97,11,1
8,7,42,82,76,62,63,110,68,25,19,48,14,1
6,9,41,82,76,10,63,110,68,36,62,8,4,1
9,6,57,68,25,116,19,110,82,36,59,8,14,1
6,9,42,24,36,62,48,54,29,25,19,63,14,0
1,9,36,24,85,30,15,11,68,25,10,27,4,1
9,1,57,24,25,10,63,73,68,60,121,97,49,0
3,5,39,68,56,121,27,14,24,76,10,8,11,0
5,3,32,90,25,116,15,11,68,85,118,63,108,1
11,14,47,101,24,9,27,4,68,85,121,63,73,0
14,11,45,82,76,116,27,100,30,25,10,63,11,1
10,8,33,68,25,63,113,14,24,85,121,97,106,0
8,10,52,101,56,121,97,11,68,25,10,15,49,1
6,9,34,68,85,10,97,49,24,36,121,15,11,1
9,6,35,24,36,121,27,14,68,85,112,63,134,0
1,14,36,68,25,112,48,12,29,36,24,8,73,0
14,1,28,68,25,121,27,73,82,56,64,63,14,1
5,6,59,90,55,116,109,49,24,25,10,63,14,0
6,5,43,68,76,121,97,103,24,56,101,8,14,0
5,6,33,90,85,49,8,14,24,56,121,97,11,0
11,10,31,110,25,116,15,14,30,85,10,63,11,1
10,11,40,24,5,116,8,4,89,85,121,15,103,1
11,10,29,68,36,10,63,110,24,85,121,15,4,1
9,8,40,24,85,10,63,49,68,25,116,15,14,1
8,9,32,68,25,10,15,14,24,85,121,46,11,1
9,8,41,68,76,45,48,14,24,56,133,27,106,0
12,3,27,110,85,10,27,100,68,25,116,63,73,1
3,12,36,93,35,90,113,100,68,85,10,27,11,0
5,11,29,86,25,10,63,106,24,36,59,8,14,0
11,5,29,68,76,121,15,14,30,56,101,8,106,1
14,10,50,29,25,90,27,73,68,85,116,63,14,1
10,14,30,24,36,59,15,4,68,85,10,8,14,0
8,12,35,68,56,9,46,73,24,25,10,27,100,0
12,8,42,101,85,10,27,49,128,25,118,46,4,1
3,1,51,24,25,90,63,11,68,36,121,48,14,0
1,3,34,68,85,122,63,11,24,35,121,27,73,1
11,12,35,101,36,122,8,14,24,85,6,97,73,0
12,11,41,24,36,6,97,73,101,85,122,63,14,1
9,3,61,101,85,122,63,14,24,36,121,27,49,1
3,9,47,68,56,49,97,73,24,76,121,27,14,1
9,3,40,24,36,101,15,11,68,76,116,63,14,0
14,6,50,68,25,10,8,14,24,76,121,97,73,1
6,14,46,68,85,122,63,49,24,36,121,27,14,0
8,11,36,93,25,10,27,73,24,85,59,63,49,0
11,8,43,24,36,121,8,106,68,85,10,46,14,0
8,11,35,110,56,10,15,14,24,25,116,97,49,0
5,9,39,24,25,122,15,11,101,85,121,97,14,0
9,5,32,101,85,112,63,11,110,25,30,15,14,1
3,6,42,68,36,121,97,14,24,85,122,27,49,0
6,3,43,68,25,59,97,14,110,36,49,47,73,1
8,1,34,30,25,90,63,49,68,76,10,8,14,1
1,8,34,24,25,116,27,100,68,85,121,63,49,0
10,5,48,68,76,10,63,49,110,56,121,27,14,1
5,10,36,110,25,10,97,11,24,35,116,8,49,0
12,14,32,68,56,49,46,73,24,25,116,27,14,1
14,12,39,29,25,121,27,14,24,85,49,8,73,0
12,10,22,110,25,49,97,4,40,36,116,8,73,1
10,12,30,24,35,122,97,14,40,25,6,48,73,0
6,1,45,93,36,59,27,49,35,85,121,97,11,1
1,6,41,110,60,112,8,49,24,25,10,97,73,0
11,3,40,89,56,122,97,11,93,37,17,46,73,0
3,11,42,110,25,17,46,49,89,85,90,8,108,0
11,3,28,110,85,59,46,73,34,25,116,63,49,1
14,9,70,24,85,121,8,14,40,35,90,97,49,0
9,14,38,40,25,122,97,73,110,36,6,8,49,1
1,5,60,101,56,49,46,4,24,25,116,97,73,0
5,1,37,30,76,122,97,14,101,56,51,63,49,1
6,12,35,110,25,122,27,11,101,85,64,46,73,1
12,6,33,110,35,90,27,73,34,25,10,46,4,1
6,12,41,110,36,62,27,108,29,25,59,8,73,1
11,9,43,89,60,90,8,49,34,25,122,63,73,1
9,11,29,29,85,90,97,73,110,25,122,8,49,0
5,8,33,110,85,112,8,11,29,25,121,27,14,0
8,5,30,110,25,121,63,106,101,36,30,97,14,1
3,14,45,68,76,112,113,73,40,85,121,97,49,0
14,3,42,40,25,10,48,134,110,56,59,97,14,0
3,14,40,110,56,121,97,14,40,85,49,48,4,0
6,10,36,40,25,10,63,49,93,36,59,97,73,0
10,6,39,93,76,10,97,11,24,36,121,48,108,1
14,8,37,86,25,49,97,11,40,85,9,46,73,0
8,14,56,40,25,121,8,108,93,85,112,97,73,1
12,1,27,29,25,122,97,49,110,85,51,63,14,0
1,12,36,37,76,59,46,110,40,85,49,63,14,1
10,3,32,93,35,116,97,106,82,85,10,113,14,1
3,10,32,34,25,49,8,14,110,85,59,97,4,0
6,11,31,40,36,122,8,14,86,25,49,46,100,0
11,6,38,40,85,6,46,100,32,35,122,63,11,1
5,14,43,93,35,116,48,4,40,85,121,27,11,1
14,5,46,93,35,59,97,73,101,85,10,27,14,1
5,14,44,40,25,90,46,4,86,35,121,97,14,0
9,12,43,110,25,122,46,11,34,85,6,27,14,0
12,9,43,93,35,49,63,73,40,25,59,97,14,1
3,8,35,37,25,49,63,11,40,76,121,46,14,0
8,3,38,29,25,90,97,14,110,76,17,8,11,0
3,8,53,110,36,112,8,11,40,25,62,97,49,0
11,1,35,93,76,49,27,14,82,85,122,63,110,1
1,11,38,110,36,59,97,49,89,85,62,46,14,0
10,9,59,110,85,6,97,14,34,35,122,46,108,1
9,10,45,89,85,122,46,14,110,36,6,97,11,0
1,8,43,93,36,51,8,11,89,56,122,97,14,0
8,1,38,40,35,121,97,73,110,85,10,27,49,0
1,8,34,40,85,122,8,14,86,76,90,97,4,1
9,10,36,93,56,17,27,49,32,85,122,8,11,0
10,9,29,110,35,122,46,11,34,85,51,8,49,1
14,5,39,32,85,121,97,4,93,56,90,63,14,1
5,14,34,110,56,90,8,4,34,35,17,97,14,0
6,3,47,34,35,10,97,73,110,36,104,48,14,0
3,6,46,110,36,104,8,11,40,25,121,97,14,1
12,11,44,110,35,59,8,4,89,56,10,46,14,1
11,12,44,93,37,104,8,110,32,35,10,27,4,0
9,14,47,93,56,121,113,14,32,35,10,97,4,0
14,9,35,34,56,121,8,4,40,85,10,46,11,1
3,10,45,34,76,112,63,14,110,85,10,46,11,1
10,3,25,93,35,116,46,106,34,25,51,8,14,1
3,10,29,93,56,62,48,11,110,76,10,97,4,0
12,8,32,110,35,122,46,49,34,56,9,8,14,0
8,12,39,68,25,122,63,14,93,35,6,113,4,0
12,8,29,40,35,122,8,4,110,25,17,97,14,1
11,6,37,40,35,10,46,108,34,25,121,8,14,1
6,11,27,34,56,122,8,4,40,85,17,97,14,1
11,6,42,110,25,122,27,14,62,35,17,8,4,1
10,12,31,93,85,116,8,11,32,35,67,97,4,0
12,10,37,32,35,121,8,4,34,36,49,97,11,1
6,14,40,34,35,49,8,14,32,85,112,97,4,0
14,6,39,34,85,121,8,14,32,35,59,46,4,1
11,8,40,110,25,121,97,103,34,85,67,8,4,1
8,11,33,93,56,67,97,4,103,25,116,8,14,0
5,1,31,90,76,116,27,14,89,85,59,46,110,1
1,5,38,37,35,62,8,11,110,76,10,27,4,1
5,1,31,93,85,121,97,106,34,76,10,8,14,1
3,9,31,93,36,122,97,14,32,85,49,63,4,0
9,3,34,34,85,121,27,4,107,25,17,63,73,1
6,8,33,103,60,122,27,4,93,35,67,97,106,0
8,6,55,107,76,116,8,103,34,25,121,46,4,0
6,8,39,34,76,59,97,4,24,35,121,48,11,0
10,1,38,110,35,59,97,11,93,56,10,27,49,0
1,10,43,82,35,122,48,14,34,76,6,97,106,1
14,11,33,93,37,122,27,14,110,35,67,97,106,0
11,14,32,103,76,116,97,106,34,35,10,8,14,1
9,5,35,34,35,49,63,4,110,25,122,97,14,1
5,9,35,110,25,122,97,14,32,35,49,63,134,1
9,5,38,32,85,49,63,11,30,35,122,97,14,1
9,11,43,34,76,121,63,110,89,37,59,97,106,0
11,9,31,32,25,121,8,110,34,36,59,97,14,1
8,10,35,34,35,9,48,103,32,37,122,97,4,1
10,8,31,122,85,112,46,110,34,25,67,27,103,0
14,12,39,32,85,49,97,103,34,25,90,8,4,0
12,14,40,32,35,10,70,103,90,85,59,109,4,1
1,3,40,110,25,121,97,49,34,36,122,8,4,0
3,1,38,93,35,121,63,110,37,85,62,48,14,0
1,3,38,93,60,122,8,106,32,35,67,27,14,1
11,5,31,32,76,49,46,110,90,85,121,8,11,1
5,11,29,34,85,49,46,14,103,25,67,8,110,0
9,6,43,128,37,67,8,103,34,35,122,46,4,1
6,9,56,93,35,121,27,110,24,85,102,63,4,1
9,6,42,34,85,10,19,103,24,35,121,8,4,1
14,3,36,34,25,121,8,110,103,35,122,97,11,1
3,14,40,103,76,116,63,4,34,85,121,97,49,0
1,12,42,93,35,116,58,110,34,25,6,97,103,1
12,1,35,32,91,10,97,103,93,85,122,58,110,0
5,10,40,93,25,122,97,110,32,37,49,8,4,0
10,5,32,93,35,10,63,103,32,25,49,46,110,0
5,10,34,32,25,67,46,103,34,37,121,8,106,1
3,12,43,34,25,59,8,106,24,37,121,97,4,0
12,3,30,34,25,122,97,4,110,37,49,46,106,0
3,12,32,93,36,49,46,106,110,25,121,8,4,0
1,6,43,24,85,112,8,108,110,25,62,46,4,1
6,1,45,93,36,59,97,11,82,85,62,27,110,1
1,6,56,37,76,116,97,110,32,25,67,8,4,0
8,9,43,34,35,116,58,4,128,37,121,97,103,1
9,8,53,32,25,67,27,106,24,37,104,46,49,0
5,12,42,32,25,49,46,42,34,37,104,8,106,0
12,5,29,24,37,104,46,106,32,25,49,8,103,1
